symbol,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31
APLS,,,,,,,,,,,,
APOG,,,,,,,,,,,,
APEN,,,,,,,,,,,,
APO,,,,,,,,,,,,
APO^B,,,,,,,,,,,,
APO^A,,,,,,,,,,,,
AMEH,,,,,,,,,,,,
APPF,,,,,,,,,,,,
APHD,,,,,,,,,,,,
APLE,,,,,,,,,,,,
AAPL,,,,,,,,,,,,
APDN,,,,,,,,,,,,
APDNW,,,,,,,,,,,,
AERG,,,,,,,,,,,,
AIT,,,,,,,,,,,,
AMNL,,,,,,,,,,,,
AAOI,,,,,,,,,,,,
AREX,,,,,,,,,,,,
APTI,,,,,,,,,,,,
APYP,,,,,,,,,,,,
APRI,,,,,,,,,,,,
ATR,,,,,,,,,,,,
APVO,,,,,,,,,,,,
WTR,,,,,,,,,,,,
AQMS,,,,,,,,,,,,
AQB,,,,,,,,,,,,
AQ,,,,,,,,,,,,
WAAS,,,,,,,,,,,,
AQXP,,,,,,,,,,,,
ARDM,,,,,,,,,,,,
ARLZ,,,,,,,,,,,,
ARMK,,,,,,,,,,,,
PETX,,,,,,,,,,,,
ARAT,,,,,,,,,,,,
ABR-B,,,,,,,,,,,,
ABR-A,,,,,,,,,,,,
ABUS,,,,,,,,,,,,
ARC,,,,,,,,,,,,
ARCW,,,,,,,,,,,,
ABIO,,,,,,,,,,,,
RKDA,,,,,,,,,,,,
ACGLP,,,,,,,,,,,,
ACGL,,,,,,,,,,,,
ACGLO,,,,,,,,,,,,
ARCH,,,,,,,,,,,,
ARTH,,,,,,,,,,,,
APLP,,,,,,,,,,,,
AROC,,,,,,,,,,,,
FUV,,,,,,,,,,,,
ARCS,,,,,,,,,,,,
ARNC,,,,,,,,,,,,
ARNC^,,,,,,,,,,,,
ARCO,,,,,,,,,,,,
ARDX,,,,,,,,,,,,
ASC,,,,,,,,,,,,
ARPC,,,,,,,,,,,,
ARNA,,,,,,,,,,,,
ARES,,,,,,,,,,,,
ARES^A,,,,,,,,,,,,
ARET,,,,,,,,,,,,
AGX,,,,,,,,,,,,
AGIIL,,,,,,,,,,,,
AGII,,,,,,,,,,,,
ACEZ,,,,,,,,,,,,
ANET,,,,,,,,,,,,
ASPW,,,,,,,,,,,,
ARKR,,,,,,,,,,,,
AIC,,,,,,,,,,,,
